Token,MintAddress
CUBANAID,GVqL9r7o1cMBvq5NCNgZPsXDNYdGrcM2Uy9bfmEEqGVi
WORLDCHILD,9VM1nRdSRFBsP5ZGH3bcxyFHVUqZZHs1Hf4ckSAAhvf6
BROKEX,HMHAkMJZLP7ZZnCRHvRzH3W91w5NSp1R4amG6dCJVNUj
LEGACY,DpHBiCMwc6F2ConLnn7S4t82cxnjrkhFafn8JNWXKZ3o
FBM,gQWhvA5RSmnwVF8j44cRs8vZrygVatkYx53a9nkCYa3
COWTOKEN,2GadUvdn2DLFS8wXJwZdp8Qbe3kRMZUYeRBQvLbPps4F
ZIGGY,2dUsRbXc4arxa8vy2xzbUK4tRLbZj1MffQjFEBQUG7By
